nombre;frecuencia
KHADIJA;15805 
IÑAKI;15793 
MARCO ANTONIO;15713 
GUILLEM;15563 
TATIANA;15503 
AIDA;15489 
PASCUAL;15378 
BENJAMIN;15340 
ADORACION;15321 
CARLES;15286 
AMAIA;15143 
SAID;14961 
ESTELA;14938 
LUCA;14927 
ABRAHAM;14864 
ALEIX;14739 
PEDRO ANTONIO;14688 
YAIZA;14643 
JOSEP MARIA;14612 
IRIA;14582 
MIA;14546 
JOSE ENRIQUE;14518 
THIAGO;14423 
JUAN IGNACIO;14315 
PERE;14225 
CHLOE;14201 
MARIA FERNANDA;14177 
IRIS;14114 
LLUIS;14109 
SARAY;14085 
BARTOLOME;14058 
LUIS FERNANDO;14040 
ELISABETH;14027 
JAN;14011 
ANGEL LUIS;14003 
AMANDA;13931 
LEONARDO;13926 
ANTONI;13889 
MARIA REYES;13816 
RACHID;13760 
IAN;13726 
MARIA REMEDIOS;13707 
ROMAN;13675 
FERMIN;13636 
GAEL;13590 
XABIER;13574 
FRANCISCO JESUS;13543 
ALI;13523 
GORKA;13330 
DYLAN;13171 
FERRAN;13160 
MARIA ARANZAZU;13154 
MARCELINO;13147 
TRIANA;13143 
GUSTAVO;13000 
YERAY;12978 
EUGENIA;12961 
ITZIAR;12794 
ANE;12779 
JOANA;12771 
MARIA TRINIDAD;12540 
ARANZAZU;12528 
JERONIMO;12521 
LUIS MANUEL;12451 
JOSE DAVID;12451 
MARIA ESPERANZA;12445 
EULALIA;12443 
CARLOS JAVIER;12382 
ELIZABETH;12298 
DAMIAN;12258 
MANUEL ANGEL;12246 
AURELIO;12245 
MAITE;12214 
JOSE JUAN;12106 
JULIO CESAR;11967 
BIEL;11918 
NIL;11869 
LUNA;11836 
PEDRO LUIS;11589 
JAIRO;11572 
HERMINIA;11497 
SALMA;11488 
VIOLETA;11409 
ENEKO;11402 
ENRIC;11327 
MUSTAPHA;11304 
JACINTO;11269 
ZOE;11263 
MIRIAN;11196 
IRINA;11067 
ARMANDO;11067 
ANA ROSA;11060 
EUSEBIO;10999 
EDUARD;10978 
JANA;10916 
DESIREE;10868 
ENRIQUETA;10824 
ELIA;10787 
EDGAR;10727 
MERITXELL;10714 
JUAN BAUTISTA;10669 
JOSE JOAQUIN;10610 
MARIA SOL;10599 
AYA;10595 
PIEDAD;10584 
NEUS;10553 
HAMZA;10478 
VICTORIANO;10472 
AYOUB;10417 
ANTONIA MARIA;10408 
AMAYA;10270 
ISIDORO;10255 
FRANCISCO ANTONIO;10237 
BLAS;10182 
FLORENTINA;10162 
MARIA INES;10156 
SIMON;10150 
GINES;10141 
JUAN MARIA;10131 
RITA;10084 
IRATI;10066 
JACOBO;10047 
MUHAMMAD;10045 
MARIA JULIA;10045 
LUIS ANGEL;10027 
ALBA MARIA;10005 
JOSE ANDRES;9996 
EMILIO JOSE;9987 
LYDIA;9974 
NAYARA;9949 
IGOR;9904 
JORGE LUIS;9865 
RAYAN;9861 
LUIS ANTONIO;9854 
SANTOS;9818 
MAXIMO;9769 
ALEXIS;9768 
ESMERALDA;9739 
HASSAN;9735 
JUAN DIEGO;9717 
AICHA;9701 
YAGO;9662 
TEODORO;9643 
ALEXIA;9601 
ANA CRISTINA;9599 
MARIAM;9597 
LIAM;9597 
MARA;9553 
DIONISIO;9550 
EMILIANO;9531 
NAIMA;9513 
GREGORIA;9498 
JESUS ANGEL;9486 
CANDIDO;9473 
MAURO;9457 
GISELA;9457 
JUSTO;9447 
MERCE;9444 
AURELIA;9425 
EZEQUIEL;9351 
ANGELA MARIA;9209 
CARIDAD;9190 
FLORENCIO;9175 
ALEXANDRE;9128 
LIA;9122 
IBAI;9093 
SAMIRA;9085 
CANDIDA;9079 
ROSER;9067 
MARIA MANUELA;9041 
MARIA ASCENSION;9024 
MARIA CANDELARIA;9010 
ONA;8976 
JOSE DANIEL;8965 
BILAL;8934 
MARIA GRACIA;8930 
ZAIRA;8914 
LUIS MARIA;8893 
ALAN;8877 
IAGO;8851 
SAGRARIO;8848 
NAIA;8813 
GALA;8796 
MANUEL ANTONIO;8740 
AIMAR;8725 
KHALID;8718 
NAZARET;8706 
MARIA ALEJANDRA;8701 
AGUEDA;8696 
FRANCISCO MIGUEL;8694 
ANDREU;8693 
ARITZ;8646 
SERAFIN;8641 
ANABEL;8606 
NAHIA;8564 
PEDRO MANUEL;8555 
YASMINA;8548 
RAMIRO;8531 
FABIO;8522 
JENIFER;8507 
CLAUDIO;8472 
JOSE FERNANDO;8427 
CARLOS MANUEL;8335 
ANNA MARIA;8320 
JUAN ANDRES;8305 
CONSOLACION;8303 
FIDEL;8301 
FAUSTINO;8286 
MARIA PURIFICACION;8269 
MARIA DOLORS;8256 
ELENA MARIA;8212 
EDURNE;8212 
JOSUE;8162 
ISABELLA;8119 
AMINA;8107 
ADELINA;8069 
ION;8054 
HICHAM;8053 
ABDELLAH;8044 
MARIA SAGRARIO;8041 
YASSINE;8024 
AMADOR;8013 
LUISA MARIA;8010 
ESTIBALIZ;7915 
AZUCENA;7912 
LUIS CARLOS;7898 
JUAN DAVID;7870 
MARIA CARME;7856 
JUAN DIOS;7843 
MARIA AUXILIADORA;7841 
MARIA AURORA;7834 
LUCIANO;7822 
YANIRA;7805 
CAYETANO;7798 
LEANDRO;7783 
MALAK;7770 
ANTONIO JAVIER;7766 
MANUEL JOSE;7750 
IBRAHIM;7731 
MARIONA;7728 
ROGELIO;7706 
CAYETANA;7703 
FABIAN;7692 
JUAN VICENTE;7679 
AZAHARA;7675 
ELOISA;7662 
LINA;7655 
MARKEL;7643 
CARME;7631 
LUIS JAVIER;7610 
ROSA ANA;7607 
MARIA PALOMA;7597 
FABIOLA;7597 
FELICIDAD;7595 
MARIA BLANCA;7588 
ANTONIO MIGUEL;7585 
JOAQUIM;7579 
MICAELA;7546 
ADELAIDA;7544 
CANDELARIA;7541 
CORAL;7531 
MARTA MARIA;7530 
INMACULADA CONCEPCION;7523 
MARISOL;7477 
MARIA LUCIA;7434 
