division;anio;salario;resto_costes
33;2011;24362.81;601.36
33;2010;24018.87;436.66
33;2009;24026.11;537.99
33;2008;24211.38;397.11
35;2023;63076.97;300.33
35;2022;63074.26;237.24
35;2021;62931.03;304.82
35;2020;60352.23;461.77
35;2019;58786.03;442.67
35;2018;57317.06;440.26
35;2017;55641.83;454.89
35;2016;56126.03;741.97
35;2015;57374.64;158.20
35;2014;57978.79;267.40
35;2013;57799.37;597.90
35;2012;57449.59;306.17
35;2011;55196.39;361.45
35;2010;52202.80;142.55
35;2009;51152.75;231.35
35;2008;49098.72;64.00
36;2023;33237.08;150.51
36;2022;32554.61;192.30
36;2021;30520.99;188.67
36;2020;30572.40;172.64
36;2019;30277.37;122.90
36;2018;29575.02;194.16
36;2017;29502.51;216.28
36;2016;29629.41;238.86
36;2015;29698.94;238.79
36;2014;28702.26;249.74
36;2013;27757.89;196.21
36;2012;27176.12;222.29
36;2011;27663.25;250.48
36;2010;26554.39;322.26
36;2009;26359.59;205.50
36;2008;25444.52;254.61
37;2023;28137.92;133.19
37;2022;26929.21;160.36
37;2021;26067.57;159.10
37;2020;25791.71;233.18
37;2019;26331.61;139.33
37;2018;25659.93;118.50
37;2017;25905.67;175.11
37;2016;25455.13;124.25
37;2015;26022.72;298.72
37;2014;25755.27;315.19
37;2013;27158.95;222.08
37;2012;26123.32;575.53
37;2011;25535.05;744.13
37;2010;26172.80;630.98
37;2009;25478.96;680.56
37;2008;21869.48;500.34
38;2023;25886.19;337.00
38;2022;25436.09;361.90
38;2021;23515.13;395.34
38;2020;22373.19;452.52
38;2019;22021.02;359.62
38;2018;21669.33;413.01
38;2017;21244.32;449.50
38;2016;21526.73;446.31
38;2015;21408.20;377.57
38;2014;21137.43;371.41
38;2013;20803.85;675.52
38;2012;20907.58;724.45
38;2011;21188.41;592.25
38;2010;20958.01;536.88
38;2009;20995.87;508.94
38;2008;20570.57;486.22
39;2023;24962.42;458.30
39;2022;24265.53;330.98
39;2021;21534.89;352.34
39;2020;22093.41;199.93
39;2019;22047.68;359.15
39;2018;21715.04;273.33
39;2017;23415.41;368.30
39;2016;24195.04;552.00
39;2015;22117.47;562.27
39;2014;20691.35;623.80
39;2013;21794.34;611.15
39;2012;21466.68;583.85
39;2011;22289.97;311.67
39;2010;20580.39;244.36
39;2009;19306.92;769.89
39;2008;19954.14;1347.54
41;2023;25988.18;401.65
41;2022;24482.29;390.98
41;2021;23243.05;444.06
41;2020;23174.47;495.21
41;2019;23188.88;504.80
41;2018;22986.07;491.85
41;2017;22776.64;675.06
41;2016;23109.99;683.85
41;2015;23148.45;683.98
41;2014;23546.33;671.40
41;2013;23561.61;902.01
41;2012;23121.85;793.30
41;2011;22951.81;924.43
41;2010;22502.58;941.63
41;2009;22583.13;989.01
41;2008;21745.87;888.57
42;2023;30586.90;435.02
42;2022;28982.92;448.42
42;2021;27765.45;478.32
42;2020;27280.09;490.21
42;2019;27475.10;562.66
42;2018;26526.20;673.70
42;2017;27514.93;776.74
42;2016;27738.78;694.63
42;2015;27845.24;482.35
42;2014;27486.97;456.90
42;2013;27375.29;741.85
42;2012;27653.38;576.63
42;2011;27112.46;764.93
42;2010;24149.19;905.68
42;2009;23571.21;1115.79
42;2008;21022.87;832.78
43;2023;24158.66;392.76
43;2022;23906.66;201.57
43;2021;22726.05;213.87
43;2020;21770.15;322.77
43;2019;22067.94;416.31
43;2018;21616.70;350.74
43;2017;21076.29;370.94
43;2016;21073.43;427.46
43;2015;21591.47;416.01
43;2014;21648.56;485.65
43;2013;21340.46;699.65
43;2012;21278.31;635.47
43;2011;20873.72;594.05
43;2010;20577.11;730.99
43;2009;20064.07;676.90
43;2008;18922.05;559.50
45;2023;24867.00;93.74
45;2022;23572.96;148.19
45;2021;22067.56;158.89
45;2020;20189.17;142.17
45;2019;22339.04;137.58
45;2018;21892.34;148.65
45;2017;21855.66;147.08
45;2016;21596.66;38.60
45;2015;21516.68;161.21
45;2014;20708.66;162.88
45;2013;20778.92;253.60
45;2012;20725.39;264.15
45;2011;21223.25;299.45
45;2010;20574.08;254.88
45;2009;20904.02;247.42
45;2008;21106.07;283.19
46;2023;30839.42;267.52
46;2022;28878.74;214.36
46;2021;28153.51;230.44
46;2020;25837.79;254.57
46;2019;26831.10;274.77
46;2018;25901.35;218.17
46;2017;25939.44;297.95
46;2016;24988.77;311.24
46;2015;25436.65;289.81
46;2014;24754.86;259.08
46;2013;25823.08;253.92
46;2012;26369.04;320.49
46;2011;26655.36;230.03
46;2010;25962.90;493.75
46;2009;26073.66;329.08
46;2008;22521.69;250.16
47;2023;18925.56;102.49
47;2022;17857.65;96.72
47;2021;16604.80;91.30
47;2020;15587.68;128.46
47;2019;16641.57;134.15
47;2018;16501.07;114.81
47;2017;15957.22;176.61
47;2016;15616.22;189.38
47;2015;15644.12;170.84
47;2014;15686.21;202.46
47;2013;15611.06;217.08
47;2012;15985.16;209.58
47;2011;15712.06;217.36
47;2010;15507.67;195.73
47;2009;15002.28;231.77
47;2008;14815.97;194.60
49;2023;24468.19;330.36
49;2022;23416.96;90.82
49;2021;22444.38;417.80
49;2020;21458.25;471.22
49;2019;22740.78;489.03
49;2018;22245.34;486.71
49;2017;22320.16;422.00
49;2016;22001.58;353.29
49;2015;21326.37;233.88
49;2014;20870.03;160.04
49;2013;21392.53;413.72
49;2012;20895.38;589.09
49;2011;20891.79;250.12
49;2010;20215.95;554.76
49;2009;19893.23;560.74
49;2008;19449.27;545.96
50;2023;32142.29;642.97
50;2022;30766.81;169.07
50;2021;29508.43;291.45
50;2020;26852.92;467.20
50;2019;28521.78;491.72
50;2018;29930.82;313.17
50;2017;29690.26;488.90
50;2016;29849.18;565.69
50;2015;29594.53;286.70
50;2014;31491.74;239.61
50;2013;31173.49;67.48
50;2012;32612.51;222.22
50;2011;32068.76;37.13
50;2010;32815.65;348.99
50;2009;31842.42;234.68
50;2008;35384.64;63.15
51;2023;42332.97;90.03
51;2022;38017.42;170.97
51;2021;29269.83;125.31
51;2020;24974.04;101.52
51;2019;39812.11;15.87
51;2018;38453.35;15.48
51;2017;38697.96;22.87
51;2016;37725.74;203.22
51;2015;37499.08;132.76
51;2014;38291.08;75.57
51;2013;37155.48;163.53
51;2012;40015.86;175.00
51;2011;39378.07;159.86
51;2010;38418.84;227.34
51;2009;36565.34;338.58
51;2008;34947.50;822.30
52;2023;30338.52;241.82
52;2022;28821.49;260.42
52;2021;27894.42;319.54
52;2020;26198.29;489.52
52;2019;27219.63;295.55
52;2018;27224.25;209.12
52;2017;26586.52;453.36
52;2016;27919.92;385.27
52;2015;28202.33;359.60
52;2014;28495.81;428.16
52;2013;28745.86;352.03
52;2012;28637.14;512.20
52;2011;27307.50;612.34
52;2010;28150.33;469.58
52;2009;29736.15;459.73
52;2008;28218.19;628.93
53;2023;19691.78;78.51
53;2022;18093.29;79.52
53;2021;17816.53;187.21
53;2020;16564.34;126.57
53;2019;17182.89;212.52
53;2018;15931.96;208.16
53;2017;15692.60;562.60
53;2016;17015.55;607.34
53;2015;16852.51;575.24
53;2014;16407.41;534.22
53;2013;16222.22;487.77
53;2012;16153.41;526.47
53;2011;16680.89;366.40
53;2010;15447.43;502.88
53;2009;14948.82;500.67
53;2008;15015.21;471.01
55;2023;22395.83;334.79
55;2022;20954.07;299.18
55;2021;14672.30;295.07
55;2020;11959.27;272.86
55;2019;20587.21;395.37
55;2018;20016.87;377.82
55;2017;19690.53;374.89
55;2016;19313.45;354.30
55;2015;19701.68;356.93
55;2014;19227.77;432.03
55;2013;19225.09;523.41
55;2012;18514.25;478.16
55;2011;18597.10;462.32
55;2010;18141.98;482.45
55;2009;18029.37;496.52
55;2008;17538.14;507.19
56;2023;14012.14;116.36
56;2022;13386.99;137.17
56;2021;10929.23;164.42
56;2020;8732.97;185.29
56;2019;12267.85;244.44
56;2018;12073.88;269.93
56;2017;11882.44;268.20
56;2016;11726.42;279.70
56;2015;11584.70;312.67
56;2014;11441.57;321.64
56;2013;11288.38;388.40
56;2012;11501.06;413.71
56;2011;11880.88;420.48
56;2010;12110.56;428.95
56;2009;12439.21;440.07
56;2008;12417.45;388.65
58;2023;37086.69;144.95
58;2022;36497.49;189.00
58;2021;35453.65;138.38
58;2020;34881.91;203.61
58;2019;33967.98;264.05
58;2018;33271.09;280.20
58;2017;31416.13;351.15
58;2016;31193.64;253.60
58;2015;31748.97;253.62
58;2014;30948.53;159.99
58;2013;31269.40;228.27
58;2012;31296.08;330.21
58;2011;31826.69;354.49
58;2010;31489.01;340.15
58;2009;30817.47;449.11
58;2008;30363.25;317.84
59;2023;32407.70;108.03
59;2022;31378.70;222.90
59;2021;30118.27;271.62
59;2020;26313.06;189.54
59;2019;27829.55;223.95
59;2018;28208.86;164.79
59;2017;27991.26;215.84
59;2016;28470.59;224.90
59;2015;26984.96;174.53
59;2014;26676.63;98.32
59;2013;26325.65;314.35
59;2012;25021.03;351.73
59;2011;24722.99;508.66
59;2010;24904.50;172.72
59;2009;23959.32;352.91
59;2008;25773.91;208.51
60;2023;42049.79;19.69
60;2022;41676.41;417.63
60;2021;41580.76;117.08
60;2020;40489.25;63.64
60;2019;39750.79;24.07
60;2018;39825.98;5.04
60;2017;38858.36;3.60
60;2016;39131.24;5.73
60;2015;38702.36;119.98
60;2014;36328.53;119.15
60;2013;35511.82;122.21
60;2012;34600.77;16.29
60;2011;34979.08;18.48
60;2010;34299.72;194.78
60;2009;33317.68;182.32
60;2008;33516.86;216.48
61;2023;43787.53;104.34
61;2022;42257.01;117.75
61;2021;46561.16;269.85
61;2020;42788.14;193.57
61;2019;41869.17;184.41
61;2018;41883.49;183.59
61;2017;41102.79;116.86
61;2016;41907.89;20.97
61;2015;42433.92;17.61
